idx,freq
305,8.46068
306,8.52309
307,8.52309
308,8.52309
309,8.57155
310,8.61516
311,8.61516
312,8.61516
313,8.61516
314,8.61516
315,8.66703
316,8.66703
317,8.66703
318,8.66703
319,8.66703
320,8.66703
321,8.7164
322,8.77934
323,8.77934
324,8.77934
325,8.77934
326,8.77934
327,8.84079
328,8.84079
329,8.84079
330,8.91585
331,8.96736
332,9.00641
333,9.04946
334,9.04946
335,9.10498
336,9.10498
337,9.14935
338,9.14935
339,9.14935
340,9.14935
341,9.14935
342,9.14935
343,9.23775
344,9.23775
345,9.30186
346,9.30186
347,9.3775
348,9.3775
349,9.3775
350,9.3775
351,9.42455
352,9.42455
353,9.42455
354,9.46966
355,9.46966
356,9.51562
357,9.51562
358,9.5754
359,9.5754
360,9.64272
361,9.71507
362,9.71507
363,9.71507
364,9.77652
365,9.77652
366,9.77652
367,9.77652
368,9.77652
369,9.77652
370,9.82378
371,9.82378
372,9.88802
373,9.88802
374,9.92263
375,9.96553
376,9.96553
377,9.96553
378,9.96553
379,10.0028
380,10.046
381,10.046
382,10.046
383,10.1019
384,10.1019
385,10.1019
386,10.1425
387,10.197
388,10.2454
389,10.2947
390,10.3293
391,10.3293
392,10.3293
393,10.3527
394,10.3527
395,10.3527
396,10.3527
397,10.3527
398,10.3527
399,10.3527
400,10.3527
401,10.3952
402,10.3952
403,10.4568
404,10.5043
405,10.5043
406,10.5551
407,10.5551
408,10.5551
409,10.5876
410,10.6548
411,10.6548
412,10.7085
413,10.7588
414,10.7588
415,10.7588
416,10.7588
417,10.8087
418,10.8087
419,10.8087
420,10.8087
421,10.8087
422,10.8087
423,10.8488
424,10.8924
425,10.8924
426,10.8924
427,10.9388
428,10.9388
429,10.9967
430,10.9967
431,10.9967
432,10.9967
433,10.9967
434,10.9967
435,10.9967
436,10.9967
437,10.9967
438,11.0447
439,11.0447
440,11.0447
441,11.0447
442,11.1174
443,11.1174
444,11.1174
445,11.1526
446,11.1526
447,11.1526
448,11.1526
449,11.1526
450,11.1526
451,11.1526
452,11.2008
453,11.2008
454,11.2008
455,11.2008
456,11.2008
457,11.2008
458,11.2008
459,11.2008
460,11.2008
461,11.2504
462,11.2504
463,11.2504
464,11.3147
465,11.3147
466,11.3147
467,11.3823
468,11.3823
469,11.3823
470,11.4304
471,11.4304
472,11.4304
473,11.4304
474,11.4304
475,11.4749
476,11.4749
477,11.5253
478,11.5689
479,11.5689
480,11.5689
481,11.5689
482,11.5689
483,11.5689
484,11.5689
485,11.5951
486,11.5951
487,11.65
488,11.6512
489,11.6512
490,11.6512
491,11.6512
492,11.6512
493,11.6512
494,11.6512
495,11.6512
496,11.686
497,11.686
498,11.7049
499,11.7049
500,11.7049
501,11.7049
502,11.7049
503,11.7049
504,11.7049
505,11.7332
506,11.7332
507,11.7332
508,11.7995
509,11.7995
510,11.8454
511,11.8454
512,11.8454
513,11.8454
514,11.8454
515,11.8454
516,11.8973
517,11.953
518,11.9873
519,11.9873
520,12.046
521,12.0927
522,12.0927
523,12.0927
524,12.0927
525,12.0927
526,12.0927
527,12.0927
528,12.0927
529,12.1308
530,12.2024
531,12.2603
532,12.2603
533,12.2603
534,12.2603
535,12.3216
536,12.3216
537,12.3216
538,12.3216
539,12.3704
540,12.3945
541,12.3945
542,12.4485
543,12.4485
544,12.5026
545,12.5026
546,12.5026
547,12.5026
548,12.5026
549,12.5026
550,12.5026
551,12.5483
552,12.5483
553,12.6073
554,12.6472
555,12.7047
556,12.775
557,12.775
558,12.837
559,12.837
560,12.9087
561,12.9395
562,12.9657
563,12.9657
564,12.9657
565,12.9657
566,12.9971
567,12.9971
568,12.9971
569,13.0758
570,13.0758
571,13.0758
572,13.0758
573,13.0758
574,13.1188
575,13.1188
576,13.1188
577,13.1188
578,13.1708
579,13.1708
580,13.2043
581,13.2043
582,13.2043
583,13.2043
584,13.2609
585,13.3027
586,13.3027
587,13.3027
588,13.3027
589,13.3027
590,13.3027
591,13.3206
592,13.3206
593,13.3206
594,13.3206
595,13.3206
596,13.3658
597,13.4123
598,13.4785
599,13.4785
600,13.4785
601,13.5406
602,13.5406
603,13.5939
604,13.5939
605,13.5939
606,13.5939
607,13.5939
608,13.5939
609,13.5939
610,13.6547
611,13.6547
612,13.6547
613,13.6547
614,13.699
615,13.7761
616,13.7761
617,13.7761
618,13.7761
619,13.7761
620,13.7761
621,13.7761
622,13.7761
623,13.8196
624,13.8196
625,13.8196
626,13.8196
627,13.8196
628,13.8196
629,13.8196
630,13.8196
631,13.8828
632,13.8828
633,13.8961
634,13.8961
635,13.9558
636,13.9558
637,13.9558
638,13.9971
639,14.0374
640,14.0701
641,14.0701
